"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
NH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,19,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,26,0,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,26,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,34,18,12
NJ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,27,36,1
NJ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,20,45,0
NJ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,61,0,1,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,6,35,0,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,39,2,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,54,4,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,52,1,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_CABG,Rate of readmission for CABG,0,15,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,62,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,59,3,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,49,0,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),13,48,3,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,63,2,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,8,1,22
NM,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,21,2,13
NM,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,22,6,8
NM,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,27,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,10,0,20,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,10,0,20,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,23,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,0,22,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_CABG,Rate of readmission for CABG,0,3,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,22,0,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,26,2,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,17,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,38,1,1,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,34,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,15,2,8
NV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,18,8,9
NV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,14,11,9
NV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,22,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,0,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,18,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,19,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_CABG,Rate of readmission for CABG,0,12,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,27,0,7,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,23,0,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,22,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,27,1,5,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,27,0,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,47,29,81
NY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,75,74,17
NY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,50,99,12
NY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,132,2,5,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,7,66,0,61,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,68,4,61,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,107,6,24,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,75,0,81,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_CABG,Rate of readmission for CABG,0,31,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,142,0,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,145,1,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,95,2,40,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),24,131,4,7,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,9,146,0,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,53,13,64
OH,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,26,92,17,18
OH,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,22,98,23,13
OH,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,139,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,5,70,0,63,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,74,1,63,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,126,3,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,74,0,64,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_CABG,Rate of readmission for CABG,0,45,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,132,1,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,132,3,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,118,1,30,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),10,142,2,8,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,142,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,21,5,36
OK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,7,49,7,51
OK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,14,64,10,27
OK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,68,0,10,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,19,1,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,22,0,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,53,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,27,0,36,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_CABG,Rate of readmission for CABG,0,12,0,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,63,0,48,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,63,0,51,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,43,0,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,107,3,7,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,86,0,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,18,0,34
OR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,43,1,11
OR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,12,39,2,8
OR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,44,0,6,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,24,0,25,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,22,0,25,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,31,1,19,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,21,1,34,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_CABG,Rate of readmission for CABG,0,9,1,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,41,0,20,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,47,3,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,38,0,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,56,4,1,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,53,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,7,69,14,53
PA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,15,115,14,14
PA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,11,114,23,13
PA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,132,0,8,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,8,78,1,49,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,83,3,49,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,120,3,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,90,0,53,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_CABG,Rate of readmission for CABG,0,47,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,2,127,0,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,136,5,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,118,0,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),8,143,5,7,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,147,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,4,5,35
PR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,5,6,34
PR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,7,5,38
PR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,8,0,25,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,1,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,1,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,4,0,34,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,8,0,35,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_CABG,Rate of readmission for CABG,0,0,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,2,0,37,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,10,0,34,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,45,0,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,11,0,38,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,4,1,5
RI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,9,1,0
RI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,8,1,1
RI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,10,0,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,1,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,1,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,0,0,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,9,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,8,1,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,10,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,16,6,27
SC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,37,11,9
SC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,33,21,3
SC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,51,0,4,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,20,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,20,1,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,4,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,0,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_CABG,Rate of readmission for CABG,0,16,1,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,49,0,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,50,0,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,36,1,15,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,54,2,2,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,57,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,4,0,29
SD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,12,1,37
SD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,27,1,23
